['Deep Learning and Its Applications in Biomedicine']	['A survey on deep learning in medicine: Why, how and when?']	['Information Fusion']	['66']	[',\npp.\n111-137\n']	[]	['2021']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['From canonical to modified nucleotides: balancing translation and metabolism']	['Critical Reviews in Biochemistry and Molecular Biology']	[]	[]	[]	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Function and evolution of rna n6-methyladenosine modification']	['International Journal of Biological Sciences']	['16']	['(11)']	[',\npp.\n1929-1940\n']	['2020']	['\n1\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['N', '-methyladenosine (m', 'A) RNA modification in human cancer']	['Cell Proliferation']	[]	[]	[]	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['HIV-1 Replication Benefits from the RNA Epitranscriptomic Code']	['Journal of Molecular Biology']	['431']	['(24)']	[',\npp.\n5032-5038\n']	['2019']	['\n2\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Crystal structure of human YTHDC2 YTH domain']	['Biochemical and Biophysical Research Communications']	['518']	['(4)']	[',\npp.\n678-684\n']	['2019']	['\n2\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['In search of the mRNA modification landscape in plants']	['BMC Plant Biology']	['19']	['(1)']	[',421']	['2019']	['\n5\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['The tudor SND1 protein is an m', 'a RNA reader essential for replication of kaposi’s sarcoma-associated herpesvirus']	['eLife']	['8']	[',e47261']	[]	['2019']	['\n4\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Multivalent m', 'A motifs promote phase separation of YTHDF proteins']	['Cell Research']	['29']	['(9)']	[',\npp.\n767-769\n']	['2019']	['\n19\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['The role of mRNA m', 'A methylation in the nervous system']	['Cell and Bioscience']	['9']	['(1)']	[',66']	['2019']	['\n14\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['N6-methyladenosine modifications: interactions with novel RNA-binding proteins and roles in signal transduction']	['RNA Biology']	['16']	['(8)']	[',\npp.\n991-1000\n']	['2019']	['\n9\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Expression of Demethylase Genes, FTO and ALKBH1, Is Associated with Prognosis of Gastric Cancer']	['Digestive Diseases and Sciences']	['64']	['(6)']	[',\n                              pp.\n1503-1513\n']	['2019']	['\n16\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['New candidate loci and marker genes on chromosome 7 for improved chilling tolerance in sorghum']	['Journal of Experimental Botany']	['70']	['(12)']	[',\npp.\n3357-3371\n']	['2019']	['\n1\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Epitranscriptomic RNA methylation in plant development and abiotic stress responses']	['Frontiers in Plant Science']	['10']	[',500']	[]	['2019']	['\n10\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['m6A reader YTHDF2 regulates lps-induced inflammatory response']	['International Journal of Molecular Sciences']	['20']	['(6)']	[',1323']	['2019']	['\n15\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Mechanistic insights into m ', ' A RNA enzymes']	['Biochimica et Biophysica Acta - Gene Regulatory Mechanisms']	['1862']	['(3)']	[',\npp.\n222-229\n']	['2019']	['\n12\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Colocalization of m ', ' A and G-Quadruplex-Forming Sequences in Viral RNA (HIV, Zika, Hepatitis B, and SV40) Suggests Topological Control of Adenosine N ', ' -Methylation']	['ACS Central Science']	['5']	['(2)']	[',\npp.\n218-228\n']	['2019']	['\n6\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Novel positioning from obesity to cancer: FTO, an m ', ' A RNA demethylase, regulates tumour progression']	['Journal of Cancer Research and Clinical Oncology']	['145']	['(1)']	[',\npp.\n19-29\n']	['2019']	['\n14\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['N6-methyladenosine-related Genomic Targets are Altered in Breast Cancer Tissue and Associated with Poor Survival']	['Journal of Cancer']	['10']	['(22)']	[',\npp.\n5447-5459\n']	['2019']	['\n8\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Xist RNA in action: Past, present, and future']	['PLoS Genetics']	['15']	['(9)']	[',e1008333']	['2019']	['\n17\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Epitranscriptomic Code and Its Alterations in Human Disease']	['Trends in Molecular Medicine']	['24']	['(10)']	[',\npp.\n886-903\n']	['2018']	['\n26\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Metronidazole causes skeletal muscle atrophy and modulates muscle chronometabolism']	['International Journal of Molecular Sciences']	['19']	['(8)']	[',2418']	['2018']	['\n5\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Microbiota composition in bilateral healthy breast tissue and breast tumors']	['Cancer Causes and Control']	['31']	['(11)']	[',\npp.\n1027-1038\n']	['2020']	[]
['Human Gut Microbiota and Gastrointestinal Cancer']	['Catching a glimpse of the bacterial gut community of companion animals: a canine and feline perspective']	['Microbial Biotechnology']	['13']	['(6)']	[',\npp.\n1708-1732\n']	['2020']	[]
['Human Gut Microbiota and Gastrointestinal Cancer']	['Functional yogurt with strawberries and chia seeds']	['Food Bioscience']	['37']	[',100726']	[]	['2020']	['\n2\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Antibiotic exposure and the risk of colorectal adenoma and carcinoma: a systematic review and meta-analysis of observational studies']	['Colorectal Disease']	['22']	['(8)']	[',\npp.\n858-870\n']	['2020']	['\n4\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Gut microbiota and neoplastic diseases of the gastrointestinal tract']	['Nowotwory']	['70']	['(4)']	[',\npp.\n150-152\n']	['2020']	[]
['Human Gut Microbiota and Gastrointestinal Cancer']	['Specific gut microbiome signature predicts the early-stage lung cancer']	['Gut Microbes']	['11']	['(4)']	[',\npp.\n1030-1042\n']	['2020']	['\n3\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Gastrointestinal disorders and metabolic syndrome: Dysbiosis as a key link and common bioactive dietary components useful for their treatment']	['International Journal of Molecular Sciences']	['21']	['(14)']	[',4929']	['2020']	[]
['Human Gut Microbiota and Gastrointestinal Cancer']	['Associations of Japanese food intake with survival of stomach and colorectal cancer: A prospective patient cohort study']	['Cancer Science']	['111']	['(7)']	[',\npp.\n2558-2569\n']	['2020']	['\n1\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Dysbiosis of gut microbiota is associated with gastric carcinogenesis in rats']	['Biomedicine and Pharmacotherapy']	['126']	[',110036']	[]	['2020']	['\n1\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Auxiliary antitumor effects of fungal proteins from Hericium erinaceus by target on the gut microbiota']	['Journal of Food Science']	['85']	['(6)']	[',\npp.\n1872-1890\n']	['2020']	[]
['Human Gut Microbiota and Gastrointestinal Cancer']	['Gut bacteria signaling to mitochondria in intestinal inflammation and cancer']	['Gut Microbes']	['11']	['(3)']	[',\npp.\n285-304\n']	['2020']	['\n19\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Fungal gut microbiota dysbiosis and its role in colorectal, oral, and pancreatic carcinogenesis']	['Cancers']	['12']	['(5)']	[',1326']	['2020']	['\n3\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Colorectal cancer and probiotics: Are bugs really drugs?']	['Cancers']	['12']	['(5)']	[',1162']	['2020']	[]
['Human Gut Microbiota and Gastrointestinal Cancer']	['Commentary: Bacterial infiltration in structural heart valve disease—Do these new insights have profound consequences?']	['Journal of Thoracic and Cardiovascular Surgery']	['159']	['(1)']	[',\npp.\n127-128\n']	['2020']	[]
['Human Gut Microbiota and Gastrointestinal Cancer']	['Akkermansia muciniphila Enhances the Antitumor Effect of Cisplatin in Lewis Lung Cancer Mice']	['Journal of Immunology Research']	['2020']	[',2969287']	[]	['2020']	[]
['Human Gut Microbiota and Gastrointestinal Cancer']	['Relationship between adverse events and microbiomes in advanced hepatocellular carcinoma patients treated with sorafenib']	['Anticancer Research']	['40']	['(2)']	[',\npp.\n665-676\n']	['2020']	[]
['Human Gut Microbiota and Gastrointestinal Cancer']	['The Role of Probiotics in Colorectal Cancer Management']	['Evidence-based Complementary and Alternative Medicine']	['2020']	[',3535982']	[]	['2020']	['\n6\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Biomarkers of a healthy nordic diet—from dietary exposure biomarkers to microbiota signatures in the metabolome']	['Nutrients']	['12']	['(1)']	[',27']	['2020']	['\n1\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Colorectal cancer occurrence and treatment based on changes in intestinal flora']	['Seminars in Cancer Biology']	[]	[]	[]	['2020']	['\n1\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Dual Role of Bacteria in Carcinoma: Stimulation and Inhibition']	['International Journal of Microbiology']	['2020']	[',4639761']	[]	['2020']	[]
['Human Gut Microbiota and Gastrointestinal Cancer']	['The bacterial microbiota of gastrointestinal cancers: Role in cancer pathogenesis and therapeutic perspectives']	['Clinical and Experimental Gastroenterology']	['13']	[',\npp.\n151-185\n']	[]	['2020']	[]
['Human Gut Microbiota and Gastrointestinal Cancer']	['Association between the relative abundance of gastric microbiota and the risk of gastric cancer: a case-control study']	['Scientific Reports']	['9']	['(1)']	[',13589']	['2019']	['\n5\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['C-type lectin receptor-mediated immune recognition and response of the microbiota in the gut']	['Gastroenterology Report']	['7']	['(5)']	[',\npp.\n312-321\n']	['2019']	['\n6\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Gut microbiota from colorectal cancer patients enhances the progression of intestinal adenoma in Apc', ' mice']	['EBioMedicine']	['48']	[',\npp.\n301-315\n']	[]	['2019']	['\n8\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['High prevalence of Pentatrichomonas hominis infection in gastrointestinal cancer patients']	['Parasites and Vectors']	['12']	['(1)']	[',423']	['2019']	['\n2\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Probiotics in food systems: significance and emerging strategies towards improved viability and delivery of enhanced beneficial value']	['Nutrients']	['11']	['(7)']	[',1591']	['2019']	['\n41\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Antibiotics and immunotherapy in gastrointestinal tumors: Friend or foe?']	['World Journal of Clinical Cases']	['7']	['(11)']	[',\npp.\n1253-1261\n     ']	['2019']	['\n3\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Differential helicobacter pylori plasticity in the gastric niche of subjects at increased gastric cancer risk']	['Pathogens']	['8']	['(2)']	[',65']	['2019']	['\n1\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Young-onset rectal cancer patients: In need of answers']	['Future Oncology']	['15']	['(10)']	[',\npp.\n1053-1055\n']	['2019']	['\n2\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Clinical applications of gut microbiota in cancer biology']	['Seminars in Cancer Biology']	['55']	[',\npp.\n28-36\n']	[]	['2019']	['\n22\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Computational Prediction of a New ADMET Endpoint for Small Molecules: Anticommensal Effect on Human Gut Microbiota']	['Journal of Chemical Information and Modeling']	['59']	['(3)']	[',\npp.\n1215-1220\n                         ']	['2019']	['\n1\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Interactions between Food and Gut Microbiota: Impact on Human Health']	['Annual Review of Food Science and Technology']	['10']	[',\npp.\n389-408\n']	[]	['2019']	['\n6\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['The Role of the Microbiome in Cancer Initiation and Progression: How Microbes and Cancer Cells Utilize Excess Energy and Promote One Another’s Growth']	['Current Nutrition Reports']	['8']	['(1)']	[',\npp.\n42-51\n']	['2019']	['\n12\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['The interplay between immunity and microbiota at intestinal immunological niche: The case of cancer']	['International Journal of Molecular Sciences']	['20']	['(3)']	[',501']	['2019']	['\n8\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Database Resources of the BIG Data Center in 2019']	['Nucleic Acids Research']	['47']	['(D1)']	[',\npp.\nD8-D14\n']	['2019']	['\n63\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Oral microbiota and gastrointestinal cancer']	['OncoTargets and Therapy']	['12']	[',\npp.\n4721-4728\n']	[]	['2019']	['\n4\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['A systematic overview of type II and III toxin-antitoxin systems with a focus on druggability']	['Toxins']	['10']	['(12)']	[',515']	['2018']	['\n11\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Butyrate upregulates the TLR4 expression and the phosphorylation of MAPKs and NK-κB in colon cancer cell in vitro']	['Oncology Letters']	['16']	['(4)']	[',\npp.\n4439-4447\n']	['2018']	['\n8\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Nutraceuticals in colorectal cancer: A mechanistic approach']	['European Journal of Pharmacology']	['833']	[',\npp.\n396-402\n']	[]	['2018']	['\n21\n']
['Human Gut Microbiota and Gastrointestinal Cancer']	['Lactobacillus casei Variety rhamnosus probiotic preventively attenuates 5-Fluorouracil/Oxaliplatin-induced intestinal injury in a syngeneic colorectal cancer model']	['Frontiers in Microbiology']	['9']	['(MAY)']	[',983']	['2018']	['\n24\n']
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Prediction of the differentially expressed circRNAs to decipher their roles in the onset of human colorectal fcancers']	['Gene']	['762']	[',145035']	[]	['2020']	[]
['CIRCpedia v2: An Updated Database for Comprehensive Circular RNA Annotation and Expression Comparison']	['Circular RNAs Are Regulators of Diverse Animal Transcriptomes: One Health Perspective']	['Frontiers in Genetics']	['11']	[',999']	[]	['2020']	[]
